producto,marca,precio_eur,precio_inr,cpu,ram_gb,almacenamiento_gb,gpu,tamanio_pantalla,sistema_operativo,warranty,spec_rating
Inspiron 13 5330 Laptop,Dell,1186.68,98890,TH GEN INTEL CORE I7 1360P,16,1024,INTEL IRIS XE GRAPHICS,13.3,Windows 11 OS,1,63.0
Inspiron 7430 2023 2 in 1 Laptop,Dell,923.88,76990,TH GEN INTEL CORE I5 1335U,8,1024,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,69.32352941176471
Inspiron 5330 2023 Laptop,Dell,1043.88,86990,TH GEN INTEL CORE I5 1340P,16,1024,INTEL IRIS XE GRAPHICS,13.3,Windows 11 OS,1,62.0
Inspiron 7430 2 in 1 Touch Laptop,Dell,1043.88,86990,TH GEN INTEL CORE I5 1335U,16,1024,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,60.0
Vostro 3430 VN3430RHXFG001ORB1 Laptop,Dell,701.88,58490,TH GEN INTEL CORE I5 1335U,8,512,INTEL IRIS XE GRAPHICS,14.0,Windows 11 OS,1,63.0
Victus 15-FB0142AX Gaming Laptop,HP,830.39,69199,TH GEN AMD RYZEN 5 5600H,16,512,NVIDIA GEFORCE RTX 3050,15.6,Windows 11 OS,1,71.0
Thin GF63 11SC-1494IN Gaming Laptop,MSI,551.88,45990,TH GEN INTEL CORE I5 11260H,8,512,NVIDIA GEFORCE GTX 1650,15.6,Windows 11 OS,2,65.0
Thin GF63 12VF-663IN Gaming Laptop,MSI,1139.88,94990,TH GEN INTEL CORE I7 12650H,16,512,NVIDIA GEFORCE RTX 4060,15.6,Windows 11 OS,2,77.0
Katana 17 B12VFK-668IN Gaming Laptop,MSI,1175.88,97990,TH GEN INTEL CORE I7 12650H,8,1024,NVIDIA GEFORCE RTX 4060,17.3,Windows 11 OS,2,77.0
Pulse 17 B13VGK-652IN Gaming Laptop,MSI,2159.88,179990,TH GEN INTEL CORE I9 13900H,16,1024,NVIDIA GEFORCE RTX 4070,17.3,Windows 11 OS,2,83.0
Pulse 17 B13VGK-666IN Gaming Laptop,MSI,1511.88,125990,TH GEN INTEL CORE I7 13700H,8,1024,NVIDIA GEFORCE RTX 4060,17.3,Windows 11 OS,2,76.0
Victus  15-fa1060TX  Gaming Laptop,HP,1397.56,116463,TH GEN INTEL CORE I5 13500H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,71.0
Victus 15-fa1064TX Gaming Laptop,HP,1319.88,109990,TH GEN INTEL CORE I7 13700H,16,512,NVIDIA GEFORCE RTX 4050,15.6,Windows 11 OS,1,72.0
